team,group,confederation,fifa_ranking,world_cups_won,appearances,is_host,is_debut,matches_2023_2026,wins,draws,losses,goals_scored_total,goals_conceded_total,goal_diff,avg_goals_scored,avg_goals_conceded,win_pct,draw_pct,loss_pct,clean_sheet_pct,ppg,avg_possession,avg_shots_pg,avg_shots_on_target_pg,avg_passes_pg
France,I,UEFA,1,2,16,0,0,43,26,7,7,89,35,54,2.23,0.88,60.5,16.3,16.3,44.2,1.98,50.6,16.8,4.8,575.7
Spain,H,UEFA,2,1,16,0,0,44,30,9,2,108,34,74,2.63,0.83,68.2,20.5,4.5,43.2,2.25,56.8,17.6,6.1,619.1
Argentina,J,CONMEBOL,3,3,19,0,0,41,31,3,4,82,14,68,2.16,0.37,75.6,7.3,9.8,65.9,2.34,55.4,14.7,6.0,559.7
England,L,UEFA,4,1,17,0,0,43,27,7,6,83,23,60,2.08,0.57,62.8,16.3,14.0,51.2,2.05,53.7,11.6,3.9,647.9
Portugal,K,UEFA,5,0,9,0,0,42,27,7,5,100,32,68,2.56,0.82,64.3,16.7,11.9,42.9,2.1,63.2,19.0,6.2,773.8
Brazil,C,CONMEBOL,6,5,22,0,0,40,17,10,10,66,42,24,1.78,1.14,42.5,25.0,25.0,27.5,1.52,56.3,13.8,4.5,530.0
Netherlands,F,UEFA,7,0,11,0,0,43,22,9,9,94,43,51,2.35,1.07,51.2,20.9,20.9,37.2,1.74,52.2,13.8,3.8,519.3
Morocco,C,CAF,8,0,7,0,0,54,39,10,2,110,19,91,2.16,0.37,72.2,18.5,3.7,64.8,2.35,53.6,14.5,5.0,486.2
Belgium,G,UEFA,9,0,14,0,0,41,21,10,7,87,32,55,2.29,0.84,51.2,24.4,17.1,43.9,1.78,53.1,13.2,5.0,552.0
Germany,E,UEFA,10,4,20,0,0,43,23,7,10,86,48,38,2.15,1.2,53.5,16.3,23.3,30.2,1.77,60.7,19.0,6.8,680.2
Croatia,L,UEFA,11,0,8,0,0,40,21,8,8,70,36,34,1.89,0.97,52.5,20.0,20.0,37.5,1.78,54.5,14.3,5.7,594.3
Colombia,K,CONMEBOL,13,0,7,0,0,45,24,11,7,78,36,42,1.86,0.86,53.3,24.4,15.6,42.2,1.84,52.8,13.2,4.3,491.5
Senegal,I,CAF,14,0,4,0,0,47,31,9,4,90,25,65,2.05,0.57,66.0,19.1,8.5,55.3,2.17,51.4,12.2,4.8,464.8
Mexico,A,CONCACAF,15,0,17,1,0,60,30,15,12,88,53,35,1.54,0.93,50.0,25.0,20.0,51.7,1.75,57.2,19.3,6.0,516.3
United States,D,CONCACAF,16,0,11,1,0,57,27,9,18,105,64,41,1.94,1.19,47.4,15.8,31.6,31.6,1.58,45.7,11.3,4.0,393.3
Uruguay,H,CONMEBOL,17,2,14,0,0,42,16,16,7,54,30,24,1.38,0.77,38.1,38.1,16.7,45.2,1.52,52.3,15.7,6.3,405.7
Japan,F,AFC,18,0,7,0,0,41,28,5,5,111,26,85,2.92,0.68,68.3,12.2,12.2,48.8,2.17,50.0,11.0,3.5,450.0
Switzerland,B,UEFA,19,0,12,0,0,42,16,17,6,76,42,34,1.95,1.08,38.1,40.5,14.3,31.0,1.55,48.2,12.4,5.0,509.8
Iran,G,AFC,21,0,6,0,0,42,27,8,4,88,29,59,2.26,0.74,64.3,19.0,9.5,45.2,2.12,38.9,11.0,3.0,375.0
